date,,longitude,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
1979-04-15,B,2,6,0,OS,EX,32,143,0,0,783,PRIVATE PILOT,1,PROPJT,200D,,PILOT TOUCHED DOWN ON WET RUNWAY WITH EXCESS SPEED. HYDROPLANED, OVERRAN THE RUNWAY
1979-02-12,B,5,G10,0,LO,CA,60,3000,0,0,25000,AIRLINE TRANSPORT,2,CURTIS,C46ACURTIS,,INTENTIONAL GEAR UP LANDING AFTER SEPARATION OF WHEEL DURING PREVIOUS SHORT FIELD LANDING ATTEMPT.
1979-03-25,B,1,G10,0,GC,FX,34,16,1,42,2465,PRIVATE PILOT,1,CESSNA,170,2130,PILOT ALLOWED AIRCRAFT TO VEER OFF RUNWAY ON LANDING ROLL. STRUCK SNOWBANK, FLIPPED OVER.
1979-12-11,B,1,G10,0,IO,AB,59,564,46,46,6658,COMMERCIAL PILOT,1,ARCTIC,S1B2,547,TRIED WATER TAKEOFF WITH ICE ON AIRCRAFT. LEFT WING STALLED ON LIFTOFF. LEFT FLOAT WING HIT WATER.
1978-12-28,B,1,,0,HO,JJ,42,104,0,0,2125,PRIVATE PILOT,2,PIPER ,PA34200T,,PILOT TAXIING ON THE RAMP ALONG PARKED AIRCRAFT STRUCK A WING ON A LIGHT-POLE.
1979-07-23,B,1,7,0,PB,JB,30,118,22,22,1321,COMM PILOT FLIGHT IN,,TCRAFK,L2,1805,UNABLE TO CLIMB AFTER TAKE OFF. ACFT SETTLED INTO TREES. DENSITY ALTITUDE AND LOW ALTITUDE TURN POSSIBLE FACTORS.
1979-07-11,F,1,10,0,IO,IB,24,773,207,355,1850,COMM PILOT FLIGHT IN,2,BEECH ,E18S,8560,ACFT STRUCK A WIRE WHILE EXECUTING A FORCED LANDING.
1979-12-09,X,1,5,0,HG,AB,42,610,34,51,1134,COMM PILOT FLIGHT IN,1,GULSTM,AA1B,1569,CFI GAVE STUDENT SIMULATED FORCED LANDING AFTER TAKEOFF. ALLOWED AIRCRAFT WING TO HIT RUNWAY ON LANDING ATTEMPT.
1978-11-14,X,1,G10,0,GC,AA,29,60,0,0,60,STUDENT,1,CESSNA,152,,LOST DIRECTIONAL CONTROL ON ROLLOUT. RAN OFF SIDE OF RUNWAY.STUDENT PILOT.
1979-07-15,B,1,G10,0,CH,FX,50,836,46,46,1960,COMMERCIAL PILOT,1,LUSCOM,8A,2123,ENG. STOP. ON FINAL APPROACH DUE TO CARB. ICE. HIT DITCH SHORT OF RWY. BOUNCED, LANDED INVERTED ON RWY.
1979-04-17,N,1,G10,0,GA,FX,52,29,29,29,35,STUDENT,1,CESSNA,172N,609,STUDENT PILOT ON FIRST SOLO. PILOT CLAIMS THE ENGINE QUIT. NOTHING COULD BE FOUND WRONG WITH THE ENGINE.
1979-11-19,B,1,G10,0,HA,HB,51,2500,300,360,8100,COMMERCIAL PILOT,1,CESSNA,172M,2012,COLLIDED WITH PA23, N4341P WHILE TAXIING.
1979-02-28,N,1,G10,0,GI,CD,29,1,0,0,293,PRIVATE PILOT,1,CESSNA,T210L,,PROBABLE INADVERTENT RETRACTION OF GEAR DURING TOUCH AND GO.
1978-12-05,N,1,1,0,24,MA,24,950,0,0,2950,COMMERCIAL PILOT,2,RKWELL,690B,,PILOT VECTORED TO AIRPORT AFTER DETECTING ELECTRIC FIRE. DUE TO FAULTY CONNECTION OF WINDSHIELD HEAT WIRE.
1979-02-03,H,1,,0,OM,PF,31,3500,0,0,5500,COMMERCIAL PILOT,1,HUGHES,269C,,JET BLAST DAMAGED PARKED HELICOPTER.
1979-08-29,N,1,10,1,HG,IB,50,0,300,300,2400,COMMERCIAL PILOT,2,CESSNA,310Q,1604,AIRPLANE OBSERVED IN NEAR VERTICAL DIVE TO GROUND. NO KNOWN MECHANICAL OR WEATHER PROBLEMS. ALCOHOL INVOLVED.
